HPIRank,Country,Region,AverageLifeExpectancy,AverageWellbeing,HappyLifeYears,Footprint,InequalityofOutcomes,Inequality-adjustedLifeExpectancy,Inequality-adjustedWellbeing,HappyPlanetIndex,GDPPC,Population
110,Afghanistan,Middle East and North Africa,59.668,3.8,12.39602381,0.79,0.426557441,38.34881762,3.390494318,20.22534977,690.842629,29726803
13,Albania,Post-communist,77.347,5.5,34.41473601,2.21,0.165133717,69.67115928,5.0976504,36.76687444,4247.485437,2900489
30,Algeria,Middle East and North Africa,74.313,5.6,30.46946131,2.12,0.244861748,60.47454459,5.196449186,33.30054279,5583.61616,37439427
19,Argentina,Americas,75.927,6.5,40.16667387,3.14,0.164238301,68.34958311,6.03470704,35.19024364,14357.41159,42095224
73,Armenia,Post-communist,74.446,4.3,24.01876006,2.23,0.216648103,66.92168232,3.747139598,25.66641729,3565.517575,2978339
105,Australia,Asia Pacific,82.052,7.2,53.06949771,9.31,0.080678248,78.56002377,6.913334932,21.22896631,67646.10385,22728254
43,Austria,Europe,81.004,7.4,54.43622962,6.06,0.071293505,78.02278579,7.135020329,30.47822433,48324.25404,8429991
8,Bangladesh,Asia Pacific,70.843,4.7,23.28948169,0.72,0.273657249,56.62464874,4.271012943,38.39069441,858.9333626,155257387
102,Belarus,Post-communist,70.874,5.7,34.0143274,5.09,0.131909878,66.74485152,5.254227139,21.71891608,6721.834908,9464000
87,Belgium,Europe,80.429,6.9,49.53780808,7.44,0.085372803,77.21074725,6.573976019,23.72652343,44731.21948,11128246
27,Belize,Americas,69.795,6.142857143,34.17681296,2.54818,0.180123167,61.66504683,5.700386151,33.83984315,4674.293377,336707
137,Benin,Sub Saharan Africa,59.167,3.2,9.935781016,1.41,0.444113292,37.26979932,2.823961447,13.42236479,807.688451,10049792
56,Bhutan,Asia Pacific,68.748,5.6,27.41212497,2.32167,0.265591392,54.52441464,5.18555019,28.62323269,2452.151588,743711
92,Bolivia,Americas,67.45,6,25.55696553,2.96,0.349805139,47.85815272,5.498203451,23.32149264,2645.290274,10238762
76,Bosnia and Herzegovina,Post-communist,76.175,4.8,28.63808322,3.12,0.186044558,71.07562838,4.187295628,25.28549689,4494.640812,3828419
126,Botswana,Sub Saharan Africa,64.249,4.8,21.28091644,3.83,0.283912853,50.79681579,4.347474059,16.60508319,6935.593653,2132822
23,Brazil,Americas,73.907,6.9,38.96429571,3.11,0.21632153,63.27166724,6.316308037,34.34497525,12157.30822,202401584
109,Bulgaria,Post-communist,73.913,4.2,23.98029257,3.32,0.192834223,68.1362898,3.677514376,20.44078927,7333.355073,7305888
119,Burkina Faso,Sub Saharan Africa,57.955,4,12.57961279,1.21,0.432492611,36.46481724,3.607849236,17.88618794,673.0267834,16590813
131,Burundi,Sub Saharan Africa,55.803,3.433333333,9.490206596,0.8,0.47742712,33.01280792,3.032759135,15.5761588,244.1964862,10124572
74,Cambodia,Asia Pacific,67.467,3.9,18.21107456,1.21,0.275349742,54.15956121,3.5205403,25.64937316,946.4766787,14832255
124,Cameroon,Sub Saharan Africa,54.61,4.2,11.5700088,1.17,0.472751563,33.09404099,3.654155022,16.69823717,1222.192142,21659488
85,Canada,Americas,81.654,7.4,53.85987669,8.17,0.088286642,77.78667128,7.08210424,23.94183384,52737.77716,34751476
140,Chad,Sub Saharan Africa,50.808,4,9.580599051,1.46,0.507342316,27.31849429,3.665055818,12.77715621,972.6793451,12715465
35,Chile,Americas,81.05,6.6,44.65574621,4.36,0.143068222,74.91745237,6.118714687,31.66552155,15253.33083,17388437
72,China,Asia Pacific,75.365,5.1,30.62505082,3.38,0.174994238,68.64677443,4.619305931,25.72642016,6264.643878,1350695000
3,Colombia,Americas,73.673,6.4,35.07089278,1.87,0.235043953,63.1006689,5.715981942,40.69501102,7885.061292,46881018
93,Comoros,Sub Saharan Africa,62.598,4,15.44197929,1.03,0.355964115,43.28654058,3.725440544,23.10098881,750.3146086,733661
1,Costa Rica,Americas,79.076,7.3,48.17479218,2.84,0.145567694,72.6155515,6.792279883,44.71407098,9733.396931,4654148
135,Cote d'Ivoire,Sub Saharan Africa,50.83,3.825,10.27045356,1.27,0.446844777,30.63832322,3.510213834,14.43855747,1281.382865,21102641
47,Croatia,Post-communist,76.961,6,39.58176514,3.92,0.117671766,73.46525751,5.545875603,30.16419853,13235.97757,4267558
41,Cyprus,Europe,79.789,6.2,42.2791556,4.21,0.120878131,76.57364947,5.679426054,30.71184643,28868.27382,1129303
64,Czech Republic,Post-communist,78.185,6.3,43.43527319,5.19,0.093970135,75.45693378,5.914354469,27.28409909,19640.92866,10510785
32,Denmark,Europe,79.832,7.5,54.40601383,5.51,0.071060884,76.76373671,7.245517611,32.67258209,57636.12531,5591572
127,Djibouti,Sub Saharan Africa,61.311,4.4,15.0860601,2.19,0.41654172,41.36546711,3.805072631,16.42836847,1586.780133,853069
45,Dominican Republic,Americas,73.097,4.8,23.73678155,1.53,0.296085916,60.81073899,4.061441147,30.30721304,5967.000984,10155036
10,Ecuador,Americas,75.449,6,34.34789418,2.17,0.218878838,64.09124718,5.517272311,37.04271571,5702.168288,15419493
86,Egypt,Middle East and North Africa,70.742,4.2,21.80422475,2.15,0.233552572,61.25635173,3.717558984,23.78102058,3226.131379,85660902
17,El Salvador,Americas,72.481,5.9,32.238895,2.07,0.223002529,62.53922269,5.313042802,35.63517765,3921.720395,6072233
118,Estonia,Post-communist,76.2,5.4,34.96770684,6.86,0.122325266,72.56052939,4.977163243,17.89502179,17490.99313,1322696
66,Ethiopia,Sub Saharan Africa,62.816,4.6,17.82202477,1.02,0.359282018,43.76662429,4.230113028,26.65874996,469.7923039,92191211
37,Finland,Europe,80.421,7.4,54.58650551,5.87,0.062135037,77.64925152,7.187936417,31.29336395,47415.55987,5413971
44,France,Europe,81.767,6.6,48.12586724,5.14,0.085242873,78.4612704,6.291764599,30.41350606,40850.35237,65639975
120,Gabon,Sub Saharan Africa,63.335,4,15.43448953,2.02,0.362162124,45.83826307,3.525217506,17.49684773,10642.43225,1613489
40,Georgia,Post-communist,74.555,4.3,24.69291009,1.58,0.196780435,66.88981357,3.849634725,31.07603413,4142.869175,3825000
49,Germany,Europe,80.573,6.7,48.22785305,5.3,0.083902882,77.6092995,6.372239497,29.81550359,44010.93139,80425823
104,Ghana,Sub Saharan Africa,61.012,5.1,18.75983692,1.97,0.375645203,42.24246047,4.599045266,21.43466357,1641.825922,25544565
89,Greece,Europe,80.505,5.1,33.31529512,4.38,0.158711241,77.56557027,4.453168481,23.62099962,22242.68193,11045011
26,Guatemala,Americas,71.355,5.9,29.59369481,1.89,0.274812322,59.2394703,5.153658907,34.23635157,3278.629083,15368759
129,Guinea,Sub Saharan Africa,57.657,3.7,11.80703794,1.41,0.418959053,37.22514655,3.329845538,15.85358085,487.3457142,11628767
57,Haiti,Americas,62.077,4.4,16.53338031,0.61,0.369860664,42.90729618,4.011334142,28.56718477,766.8722334,10288828
65,Honduras,Americas,72.755,4.6,22.13166196,1.68,0.311081291,58.49792905,3.941378694,27.15877079,2395.073442,7736131
123,Hong Kong,Asia Pacific,83.572,5.5,40.10503496,8.82345,0.099536778,81.26281719,5.093280453,16.79968497,36707.77423,7154600
69,Hungary,Post-communist,74.859,4.7,28.7303915,2.92,0.151546332,70.948438,4.207529527,26.38318152,12819.71206,9920362
39,Iceland,Europe,82.198,7.6,58.03139507,6.425540806,0.050863557,79.8213676,7.428212638,31.07872474,44258.84279,320716
50,India,Asia Pacific,67.269,4.6,20.44599898,1.16,0.313137153,51.12827742,4.157015728,29.1754645,1449.664875,1263589639
16,Indonesia,Asia Pacific,68.507,5.4,28.43888369,1.58,0.206822299,57.18006312,5.131621015,35.71609258,3700.523538,248037853
84,Iran,Middle East and North Africa,74.784,4.6,25.40027471,2.79,0.230905908,66.87902256,3.955998154,23.99204174,7710.513314,76156975
67,Iraq,Middle East and North Africa,68.96,4.7,22.77709154,1.88,0.270117369,55.63140391,4.25234135,26.52129157,6649.248156,32780975
48,Ireland,Europe,80.518,7,50.34974284,5.57,0.084939292,77.53378918,6.651964418,30.01652957,48976.92975,4586897
54,Israel,Middle East and North Africa,81.934,7.1,52.49484451,6.22,0.076216355,78.7417853,6.824762111,28.83147555,32818.85838,7910500
60,Italy,Europe,82.696,5.8,41.10344252,4.61,0.116598788,80.20834933,5.282638701,28.0765247,34844.49809,59539717
11,Jamaica,Americas,75.326,5.55,31.91674864,1.89,0.211465322,66.34899499,4.968489059,36.88843514,5445.894718,2707805
58,Japan,Asia Pacific,83.239,6,44.03262108,5.02,0.092846892,80.585367,5.622151046,28.31934808,46679.26543,127561489
114,Kazakhstan,Post-communist,68.606,5.8,31.72650935,5.55,0.178587884,60.65587189,5.388629786,19.05043464,12120.30534,16791425
83,Kenya,Sub Saharan Africa,60.31,4.5,16.20662753,1.03,0.378988058,40.95583118,4.1151536,24.21635164,1184.923256,42542978
31,Kyrgyzstan,Post-communist,69.73,5.2,28.72547492,1.91,0.181532474,60.22157506,4.92801875,33.07797039,1177.974735,5607200
121,Latvia,Post-communist,73.607,5.1,31.15893273,6.29,0.141063309,68.65860013,4.696296457,17.05672886,13775.26158,2034319
100,Lebanon,Middle East and North Africa,78.797,4.6,28.23839237,3.84,0.189067895,73.08581282,4.021785723,21.89776933,9729.282193,4440728
125,Lesotho,Sub Saharan Africa,48.947,4.9,13.35395173,1.66,0.421757904,32.55987457,4.259407006,16.66513639,1158.804222,2057331
96,Liberia,Sub Saharan Africa,60.229,4.4,15.69602354,1.21,0.383681351,40.29548882,4.053285636,22.18227923,414.1851554,4190155
107,Lithuania,Post-communist,72.804,5.8,36.37930088,5.83,0.112707659,68.82361436,5.443929483,21.0365657,14342.52348,2987773
139,Luxembourg,Europe,81.111,7,51.67788806,15.82,0.067837363,78.97029422,6.702020177,13.1511742,105447.0932,530946
90,Macedonia,Post-communist,75.067,4.6,27.18877972,3.26,0.180863999,69.38472611,4.076608698,23.39190793,4709.511628,2069270
98,Malawi,Sub Saharan Africa,60.122,4.3,13.69908385,0.81,0.44538135,40.43996663,3.545565848,22.13081844,270.0875313,15700436
46,Malaysia,Asia Pacific,74.428,5.9,38.34259148,3.71,0.101843107,69.45324535,5.678688208,30.29171355,10834.65908,29021940
