HPIrank	Country	ISO	Continent	Pop_thousands	LifeExpectancy	Ladderoflife EcoFootprint HPI	Biocapacityforyear GDPpc
1	Costa Rica	CRI	1	5047.6	80.3	7.00	2.65	62.1	1.56	20297
2	Vanuatu	VUT	8	299.9	70.5	6.96	1.62	60.4	1.56	3153
3	Colombia	COL	1	50339.4	77.3	6.35	1.90	60.2	1.56	14625
4	Switzerland	CHE	3	8591.4	83.8	7.69	4.14	60.1	1.56	68391
5	Ecuador	ECU	1	17373.7	77.0	5.81	1.51	58.8	1.56	11375
6	Panama	PAN	1	4246.4	78.5	6.09	2.10	57.9	1.56	31459
7	Jamaica	JAM	1	2948.3	74.5	6.31	1.84	57.9	1.56	9761
8	Guatemala	GTM	1	17581.5	74.3	6.26	1.77	57.9	1.56	8637
9	Honduras	HND	1	9746.1	75.3	5.93	1.58	57.7	1.56	5728
10	Uruguay	URY	1	3461.7	77.9	6.60	2.62	57.5	1.56	21561
11	New Zealand	NZL	2	4783.1	82.3	7.21	3.87	57.4	1.56	43148
12	Philippines	PHL	8	108116.6	71.2	6.27	1.50	57.1	1.56	8908
13	El Salvador	SLV	1	6453.6	73.3	6.45	2.06	56.3	1.56	8776
14	United Kingdom	GBR	3	67530.2	81.3	7.16	3.95	56.0	1.56	46703
15	Peru	PER	1	32510.5	76.7	6.00	2.09	55.9	1.56	12848
16	Nicaragua	NIC	1	6545.5	74.5	6.11	2.04	55.2	1.56	5407
17	Tajikistan	TJK	7	9321.0	71.1	5.46	0.96	55.2	1.56	3380
18	Netherlands	NLD	3	17097.1	82.3	7.43	4.59	54.9	1.56	56810
19	Dominican Republic	DOM	1	10739.0	74.1	6.00	1.93	54.8	1.56	18413
20	Armenia	ARM	7	2957.7	75.1	5.49	1.52	54.7	1.56	13654
21	Brazil	BRA	1	211049.5	75.9	6.45	2.68	54.6	1.56	14652
22	Bangladesh	BGD	6	163046.2	72.6	5.11	0.88	54.5	1.56	4754
23	Mexico	MEX	1	127575.5	75.0	6.43	2.58	54.3	1.56	19766
24	Uzbekistan	UZB	7	32981.7	71.7	6.15	1.88	54.1	1.56	6999
25	Kyrgyzstan	KGZ	7	6415.9	71.5	5.69	1.44	53.7	1.56	5254
26	Serbia	SRB	7	8772.2	76.0	6.24	2.69	53.2	1.56	18351
27	Nepal	NPL	6	28608.7	70.8	5.45	1.20	53.1	1.56	3417
28	Thailand	THA	8	69625.6	77.2	6.02	2.66	52.9	1.56	18460
29	Germany	DEU	3	83517.0	81.3	7.04	4.44	52.7	1.56	53811
30	Spain	ESP	3	46736.8	83.6	6.46	4.14	52.3	1.56	40936
31	France	FRA	3	65129.7	82.7	6.69	4.41	51.8	1.56	46113
32	Mauritius	MUS	5	1269.7	75.0	6.24	2.85	51.5	1.56	22870
33	Finland	FIN	3	5532.2	81.9	7.78	5.76	51.3	1.56	48803
34	Senegal	SEN	5	16296.4	67.9	5.49	1.15	51.2	1.56	3395
35	Ireland	IRL	3	4882.5	82.3	7.25	5.20	51.1	1.56	86826
36	Albania	ALB	7	2880.9	78.6	5.00	1.95	51.0	1.56	13724
37	Moldova	MDA	7	4043.3	71.9	5.80	2.04	51.0	1.56	13022
38	Norway	NOR	3	5378.9	82.4	7.44	5.51	50.9	1.56	64962
39	Morocco	MAR	4	36471.8	76.7	5.06	1.82	50.9	1.56	7515
40	Italy	ITA	3	60550.1	83.5	6.45	4.45	50.7	1.56	42416
41	Sweden	SWE	3	10036.4	82.8	7.40	5.61	50.5	1.56	52642
42	Palestine, State of	PSE	4	4981.4	74.0	4.48	0.94	50.3	1.56	6220
43	Argentina	ARG	1	44780.7	76.7	6.09	3.19	50.0	1.56	22064
44	Indonesia	IDN	8	270625.6	71.7	5.35	1.74	49.6	1.56	11812
45	Cyprus	CYP	3	1198.6	81.0	6.14	3.97	49.4	1.56	39545
46	Venezuela	VEN	1	28515.8	72.1	5.08	1.59	48.9	1.56	..
47	Greece	GRC	3	10473.5	82.2	5.95	4.04	48.8	1.56	30463
